ID	words	meaning	lx
21	abridge	v. 删节,缩短	 It was abridged from the original work./r/n     这是原书的节录本。/r/n\n This is an abridged edition of war and peace"./r/n     这是“战争与和平”的节略版。/r/n"
22	abridgement	节略,缩写	
23	abroad	a. 在国外,海外(一般作表语)<br>\nad. 到国外,在国外	 He lived abroad for many years./r/n     他在国外居住了许多年。/r/n\n She is hungry for news of her husband working abroad./r/n     她渴望得到国外工作的丈夫的消息。/r/n
24	abrupt	a. 突然的,唐突的	 That young man has an abrupt manner./r/n     那个年轻人态度很无礼。/r/n\n The meeting came to an abrupt end./r/n     会议突然结束了。/r/n
25	abruption	中断,分离	
26	abscess	n. 脓疮,溃疡	 The tip of an abscess, a boil, or a pimple, in which pus forms./r/n     脓头中间有脓液的脓疮、疖或丘疹的顶端/r/n\n I think I have an abscess on my gums. This could be serious./r/n     我想我的牙床上有个脓疮，这可能是严重的。/r/n
27	absence	a. 不在,缺席<br>\nn. 缺乏,缺少,缺席	 Please look after my house during my absence./r/n     我不在时，请帮我看房子。/r/n\n We must invent an excuse for our absence./r/n     我们必须为缺席编造一个藉口。/r/n
28	absent	a. 缺席的<br>\nvt. 使缺席	 How many students are absent today?/r/n     今天有多少学生缺席？/r/n\n Why was it that he was absent?/r/n     他为什么缺席呢？/r/n
29	absentminded	a. 心不在焉的,茫然的,恍惚的	
30	absorb	v. 吸收,吸引...的注意,使全神贯注	 His business absorbs him./r/n     他的业务使他全神贯注。/r/n\n The clever boy absorbed all the knowledge his teacher could give him./r/n     那个聪明的男孩把他老师所能教他的所有的知识都吸收了。/r/n
31	absorption	n. 吸收	 I really appreciate his complete absorption in his work./r/n     我很欣赏他对工作的极端专注。/r/n\n A medicine or an agent that induces absorption./r/n     吸收剂导致吸收的药品或药剂/r/n
32	abstract	n. 摘要<br>\na. 抽象的<br>\nv. 摘要,抽炼	 He has some abstract notion of wanting to change the world./r/n     他有一种要改造世界的空想。/r/n\n We may talk of beautiful things, but beauty itself is abstract./r/n     我们尽可谈论美的事物，然而美本身却是抽象的。/r/n
33	absurd	a. 荒唐的	 What an absurd suggestion!/r/n     多荒谬的建议啊！/r/n\n It was absurd of you to suggest such a thing./r/n     你居然建议这样的事，太可笑了。/r/n
34	abundance	n. 丰富,充裕	 There was an abundance of corn last year./r/n     去年玉米丰收。/r/n\n The state of being profuse; abundance./r/n     丰富极其丰富的状态；充沛/r/n
35	abundant	a. 丰富的,充裕的	 There is abundant firewood in the forest./r/n     森林里有充裕的薪柴可用。/r/n\n Our abundant resources and stable policy provide foreigners with the advantages they invest here./r/n     我们丰富的资源和稳定的政策为外商投资提供了有利条件。/r/n
43	acceptable	a. 合意的,受欢迎的,可接受的	 The solution to this problem is acceptable./r/n     这个问题的解决方案是可接受的。/r/n\n Do you think the proposal is acceptable?/r/n     你认为这个建议可接受吗？/r/n
105	adaptability	n. 适应性	
119	addressable	可寻址的	
159	advisable	a. 明智的,可取的	 It is deemed advisable./r/n     这认为是可取的./r/n\n It will not be advisable so pack this course into your already busy schedule./r/n     把这门课硬排进你本来已经很紧的计划是不明智的。/r/n
197	agreeable	a. 愉快的,和蔼可亲的	 Are you agreeable to the proposal?/r/n     你能同意这项建议吗？/r/n\n She has an agreeable voice./r/n     她的声音悦耳。/r/n
252	allowable	容许的,承认的	
262	alphabet	n. 字母表	 There are 26 letters in the English alphabet./r/n     英语字母表中有26个字母。/r/n\n Many letters in the alphabet such as b, c, d,etc are consonants./r/n     字母表中的许多字母像b，c，d，等等都是辅音字母。/r/n
263	alphabetic	a. 照字母次序的,字母的	
264	alphabetical	a. 按字母表顺序的	 The index is arranged in alphabetical order./r/n     这索引是按字母顺序排列的。/r/n\n The words in the dictionary are arranged in alphabetical order./r/n     词典中的词是按字母顺序排列的./r/n
265	alphabetically	按字母表顺序地	 The books are listed alphabetically./r/n     这些书是按字母顺序编入目录的./r/n\n Being arranged alphabetically./r/n     按字母顺序排列的/r/n
289	amenable	a. 应服从的,会接纳的,肯服从的	 This case is not amenable to the normal rules./r/n     这件事经不起常规的检验./r/n
296	amiable	a. 和蔼的,亲切的	 He is an amiable person./r/n     他是个可亲的人。/r/n\n Do you really want to go or are you merely being amiable?/r/n     你是真想去呢，还是仅仅为了表示友好？/r/n
318	anabolism	n. 同化,同化作用	
415	applicable	a. 合适的,适用的	 Applicable to or characteristic of attorneys or their profession./r/n     律师的适用于律师或律师行业的，律师或律师行业的特点的/r/n\n Above rate applicable until further notice./r/n     除非另有通知，上述运费率适用。/r/n
423	appreciable	a. 可感知的,可评估的	 A fracture or crack in a rock mass along which no appreciable movement has occurred./r/n     裂缝，裂口岩石块中的碎片或缝隙，在其周围未发生过可被觉察到的运动/r/n\n Appreciable changes in temperature./r/n     可察觉到的温度上的变化/r/n
438	Arab	n. 阿拉伯人,阿拉伯马<br>\na. 阿拉伯人的,阿拉伯的	
439	Arabian	a. 阿拉伯(人)的<br>\nn. 阿拉伯人	
440	Arabic	n. 阿拉伯语<br>\na. 阿拉伯语的,阿拉伯人的,阿拉伯式的	 He demonstrated a mastery of Arabic./r/n     他显示了对阿拉伯语的精通。/r/n\n She needs to perfect her Arabic before going to work in Cairo./r/n     她需要把阿拉伯语学好才能到开罗工作./r/n
565	attributable	a. 可归于...的	 His illness is attributable to overwork./r/n     他的病可归因于劳累过度。/r/n\n A failure in a device attributable to burning, excessive heat, or friction./r/n     烧毁，烧坏由于燃烧、超高热或摩擦引起的设备故障/r/n
603	availability	n. 有效,有用,有益	 Pertaining to the availability of a resource for more than one user at the same time./r/n     用于修饰或说明一种资源在同一时刻可供给多个用户使用的可用性。/r/n
604	available	a. 可用的,有效的	 The Prime Minister was not available for comment./r/n     首相无暇作出评论。/r/n\n This was the only available room./r/n     只剩下那个房间可用了。/r/n
609	avoidable	a. 可避免的	
798	bistable	双稳态	
868	bootable	可引导的,可启动的	
1017	cab	n. 出租汽车<br>\nv. 乘出租车<br>\nvi. 乘出租马车	 Shall we walk or take a cab?/r/n     我们走路还是坐出租车？/r/n\n A cab will be there in ten minutes./r/n     过10分钟会有一辆出租汽车到那儿。/r/n
1018	cabbage	n. 卷心菜,洋白菜	 I like to cook dishes with cabbage./r/n     我喜欢用洋白菜做菜。/r/n\n My mother was a lady, but just the same she ate boiled cabbage with a knife./r/n     我母亲是个淑女，可她还是用餐刀吃煮过的卷心菜。/r/n
1019	cabinet	n. 橱柜,内阁	 The question was discussed in cabinet./r/n     在内阁会议上讨论了这个问题。/r/n\n They have found out the mole in the cabinet./r/n     他们已经发现了内阁中的间谍。/r/n
1020	cable	n. 电缆,海底电报<br>\nv. 打海底电报	 She cabled the good news about her arrival in Chicago./r/n     她打电报说她已顺利到达芝加哥。/r/n\n A number of cables are needed in this project./r/n     这项工程需要大量电缆。/r/n
1021	cabling	布线	
1064	capability	n. 能力,才能,性能,容量	
1065	capable	a. 有能力的	 He is a very capable doctor./r/n     他是一个很高明的医生。/r/n\n Our position is capable of improvement./r/n     我们的地位可以改善。/r/n
1113	catabolism	n. 分解代谢	
1352	collaborate	v. 合作,通敌	 She collaborated with her sister/She and her sister collaborated on a biography of their father./r/n     她和姐姐合作写父亲的传记./r/n\n He was suspected of collaborating (with the enemy)./r/n     怀疑他（与敌人）勾结./r/n
1353	collaboration	n. 合作,通敌	
1354	collaborative	a. 协作的,合作的	
1413	comparable	a. 可比较的,比得上的	 A comparable car would cost far more abroad./r/n     类似的车子在国外要贵的多。/r/n\n The achievements of an athlete and a writer are not comparable./r/n     运动员的成就与作家的成就不能相提并论。/r/n
1464	computability	可算性	
1543	considerable	a. 相当的,可观的,重要的	 He bought the house at considerable expense./r/n     他花了很多钱买了这所房子。/r/n\n The mayor is a considerable official./r/n     市长是一位重要的官员。/r/n
1603	controllability	可控制性,控制能力	
1718	crab	n. 蟹<br>\nvi. 捕蟹	 It was his misfortune to catch a crab in the last spurt./r/n     他真倒霉，到了最后一刹那竟有一桨没划好。/r/n\n A crab burger, a tofu burger./r/n     蟹肉三明治；豆腐三明治/r/n
1835	database	n. 数据库	 This database is only accessible by the authorized manager./r/n     只有授权的管理员才可以访问此数据库。/r/n\n Can you set up a database?/r/n     你能建一个数据库吗?/r/n
1869	decidability	可判定性	
1917	definable	可定义的,可确定的	
1935	delectable	a. 快乐的,可喜的,愉快的	
2014	desirable	a. 令人想要的<br>\n[计算机] 希望的	
2035	detectable	a. 可发现的(可察觉的,可探测出的,可检波的)	 Detectable only by microscopic examination or chemical analysis, as a minute blood sample./r/n     通过显微镜观察测知的只能通过显微镜观察或化学分析才能发现的，如微量的血样/r/n
2064	diabetes	n. 糖尿病	
2130	disability	n. 无力,无能,残疾	 A physical or mental disability./r/n     身心的缺陷体力或智力上的无能/r/n\n As a matter of fact, many people have a disability./r/n     事实上，许多人身体都有某种缺陷。/r/n
2131	disable	v. 使...失去能力	 He was disabled from walking by the accident./r/n     由于车祸，他不能走路了。/r/n\n Old age disabled him for hard labour./r/n     年迈使他不能干繁重的工作。/r/n
2132	disabled	a. 残废的<br>\nn. 残疾人	 This book sentimentalizes the suffering of the disabled./r/n     这本书以柔懦的笔调渲染了残疾人的痛苦。/r/n\n Her latest book discusses the problems of the disabled./r/n     她 的新书论述残疾人的问题./r/n
2186	dishonorable	a. 不名誉的	 He is ashamed for his former dishonorable action./r/n     他对他以前不光彩的行为感到羞愧。/r/n\n He has done many dishonorable things these years/r/n     这些年，他干了许多可耻的事情。/r/n
2338	drawable	可拉的	
2384	durability	n. 持久性(耐久性,耐用年限,寿命)	
2385	durable	a. 耐久的<br>\nn. 耐用品	 This pair of shoes is durable./r/n     这双鞋很耐磨。/r/n\n The durable, aromatic wood of any of these plants, especially that of the red cedar, often used to make chests./r/n     雪松木这些植物的耐久的、带香味的木材，尤指红雪松的木材，常用于制作箱子/r/n
2463	elaboration	n. 苦心经营,精巧<br>\nn. 详细说明	 The elaborations of the plot made it a difficult book to read./r/n     这本书因内容节外生枝而很难懂./r/n
2544	enable	v. 使...能够<br>\n[计算机] 使能	 The collapse of the strike enabled the company to resume normal bus services./r/n     罢工的失败使公司恢复了正常的公共汽车营业。/r/n\n I gave him full directions to enable him to find the house./r/n     我向他作了详细说明, 好让他能找到那房子./r/n
2545	enabled	可激活的	 The collapse of the strike enabled the company to resume normal bus services./r/n     罢工的失败使公司恢复了正常的公共汽车营业。/r/n\n Their help enabled me to finish the work with ease./r/n     他们帮助我，使我能够顺利地完成工作。/r/n
2593	enjoyable	a. 有趣的,愉快的	
2646	equitable	a. 公平的,公正的	 Impartial; just; equitable./r/n     公平的；公正的；无私的/r/n
2678	establish	v. 建立,确立,创办	 Our company was established in 1994./r/n     我们的公司成立于1994年。/r/n\n His second novel established his fame as a writer./r/n     他的第二部小说确立了他作家之名。/r/n
2679	establishment	n. 确立,制定,设施	 He keeps a large establishment./r/n     他拥有巨大家业。/r/n\n The establishment of that school took five years./r/n     兴建那所学校花了五年的时间。/r/n
2742	exchangeable	a. 可交换的,可兑换的,可替换的	
2760	executable	可执行的	 A program that translates a source program into an executable program(an object program)./r/n     一种把源程序翻译成可执行程序（即目标程序）的程序。/r/n
2862	fable	n. 寓言	 Fables often have animals as the main characters./r/n     寓言常以动物为主角。/r/n\n Children, gather round, and Miss Alice will tell you a fable."/r/n     ＂孩子们，大家聚拢点，爱丽丝小姐给你们讲个寓言故事。＂/r/n"
2863	fabric	n. 织物,布,结构	 The cost of repairing the fabric of the church was very high./r/n     修理教堂结构的花费非常大。/r/n\n The whole fabric of the society was changed by the war./r/n     战争改变了整个社会结构。/r/n
2864	fabricate	v. 制造,建造,装配	
2926	favorable	a. 有利的,赞许的,良好的	 The conditions are favorable for opening a new business./r/n     各种条件有利于开办新企业。/r/n\n Most people were favorable to the idea./r/n     大多数人赞成这个主意。/r/n
2927	favorably	ad. 顺利地,亲切地,好意地	 His speech was favorably received./r/n     他的演讲很受欢迎。/r/n\n One who is favorably disposed toward Arab concerns and policies./r/n     阿拉伯（民族）主义者非常关注阿拉伯事务及政策的人/r/n
2999	filterable	a. 可滤过的,可滤的	
3034	flabby	a. 软弱的,没气力的,不稳的	
3145	formidable	a. 强大的,可怕的,艰难的	 They climbed up the last part of the mountain in formidable weather conditions./r/n     他们在恶劣的天气条件下登上了山的顶峰。/r/n\n His mother is a most formidable lady./r/n     他的母亲是个最令人生畏的妇人。/r/n
3366	gigabyte	n. 十亿位元组	
3427	grab	n. 抓握,接应,掠夺<br>\nv. 抓取,抢去	 When I gave him the chance, he grabbed it at once./r/n     我给他这一机会，他立刻抓住不放。/r/n\n He grabbed my collar and pulled me towards him./r/n     他抓住我的领子把我拉倒他面前。/r/n
3428	grabber	抓帧器	
3537	habit	n. 习惯	 My colleague has broken off the habit of smoking./r/n     我的同事已经戒掉了吸烟的习惯。/r/n\n He is in the habit of rising early./r/n     他有早起的习惯。/r/n
3538	habitual	a. 惯常的,习惯的	 His habitual place at the table was occupied by a stranger./r/n     他惯常坐在桌旁的位置被一个陌生人占据了。/r/n\n My girlfriend and I are habitual cinema-goers./r/n     我和女友是电影院的常客。/r/n
3539	habitus	n. 状态	
3766	hospitable	a. 好客的	 They gave us a hospitable reception on our arrival./r/n     我们到达后他们热情地款待我们。/r/n\n The hospitable host had his spare room emptied very quickly for the honoured guest./r/n     好客的主人很快为尊贵的客人腾空了闲置着的房间。/r/n
3877	imaginable	a. 可想像的,可能的	
3935	inability	n. 无能,无力	 His inability to speak French puts him at a disadvantage./r/n     他不会说法语, 这使他很吃亏./r/n\n The persistent inability to conceive a child./r/n     不孕持续的不能怀孕的能力/r/n
3947	incalculable	a. 不可数的,无数的	 He is a person of incalculable moods./r/n     他是个喜怒无常的人。/r/n\n He did incalculable harm to her reputation./r/n     他严重损害了她的声誉。/r/n
3948	incapable	a. 无能力的,不能的	 The children seem to be totally incapable of working quietly by themselves./r/n     这些孩子似乎完全不能安静地自己做功课。/r/n\n That child seems incapable of keeping out of (ie not getting into) mischief./r/n     那个孩子不调皮捣蛋简直就受不了./r/n
3983	incurable	a. 不能医治的,不能矫正的,无救的<br>\nn. 不治的病人,无救的人	 He was found in incurable disease./r/n     他被查出得了不治之症。/r/n\n The child has an incurable habit./r/n     那孩子有个无法矫正的习惯。/r/n
4012	indispensable	a. 不可缺少的	 Air, food and water are indispensable to life./r/n     空气，食物，水皆为生命不可缺者。/r/n\n A good dictionary is indispensable for learning a foreign language./r/n     学习外语离不开好的词典。/r/n
4031	inevitable	a. 不可避免的,必然(发生)的	
4032	inevitably	ad. 不可避免地	 Of necessity; inevitably./r/n     必然必需地，不可避免地/r/n\n Inevitably, a quarrel followed between the two sides./r/n     双方随後不可避免地争吵起来。/r/n
4054	inflammable	a. 易燃的,易怒的	 Petrol is highly inflammable./r/n     汽油是高度易燃的。/r/n
4076	inhabit	v. 居住于,占据,栖息	 Only a few people inhabited the island./r/n     只有少数人在这个岛上居住。/r/n\n Fish inhabit the sea./r/n     鱼栖息于海中。/r/n
4077	inhabitant	n. 居民	 He lives in a city with 100000 inhabitants./r/n     他住在一个有十万居民的城市。/r/n\n A native or inhabitant of Elam./r/n     埃兰人埃兰本地人或居民/r/n
4105	innumerable	a. 无数的,数不清的	
4129	instability	n. 不安定,不稳定,基础薄弱	 Insecurity or instability./r/n     不安全或不稳定/r/n\n The riot can be considered a symptom of political instability./r/n     这次暴动可看作是政治上不稳定的征兆。/r/n
4236	invaluable	a. 无价的	 Your help is invaluable to us./r/n     你对我们的帮助是非常宝贵的。/r/n\n He has many invaluable paintings./r/n     他有许多珍品画。/r/n
4237	invariable	n. 不变的东西,常数<br>\na. 不变的,不易的,常数的	 He came to see me with the invariable request for a loan./r/n     他来见我时又提出了他那一贯的借钱的要求。/r/n
4238	invariably	ad. 不变化地,一定不变地,常常地	 Wives say that men are invariably children at heart./r/n     妻子们说男人实际上永远是孩子。/r/n\n His intuition is invariably correct./r/n     他的直觉常常是正确的。/r/n
4279	irrevocable	a. 不能唤回的,不能取消的,不能变更的	
4282	irritability	n. 易怒,过敏性,兴奋性	 Harshness of manner; ill temper or irritability./r/n     粗暴态度粗暴；脾气暴躁或易怒/r/n
4380	justifiable	a. 可辩解的,可证明的,有理的	
4440	knowledgeable	a. 聪明的,有知识的	 Knowledgeable about or constituting all or many subjects; comprehensively broad./r/n     博学多才的关于或组成所有或许多学科知识的；包罗万象的广阔/r/n\n I do not respect him because he is knowledgeable./r/n     我并非因为他有学问而尊敬他。/r/n
4441	lab	n. 实验室	
4442	label	n. 标签,签条,商标<br>\nv. 贴标签于,分类<br>\nn.[计算机]标记, DOS命令 : 加上或修改磁盘的标签	 Have you attached labels to the luggage?/r/n     你给行李系上标签了吗？/r/n\n The bottle is labeled poison./r/n     瓶上标明有毒。/r/n
4443	labeled	有标签的	 The bottle is labeled poison./r/n     瓶上标明有毒。/r/n\n It is a very expensive camera. I labeled with my English initials in yellow on the back side of it./r/n     那是一架昂贵的像机。在像机皮套的背面，用黄色标着本人英语姓名的第一个字母。/r/n
4444	labile	a. 易变的,不稳定的	
4445	laboratory	n. 实验室;实验大楼	 Our professor usually works in the laboratory doing his research./r/n     我们的教授常常在实验室搞研究。/r/n\n The students will have an experiment in the laboratory tomorrow./r/n     学生们明天要在实验室里做实验。/r/n
4446	laborer	n. 劳动者,劳工	 The farmer paid 3 laborers to gather the crop./r/n     农场主雇佣3名工人收割庄稼。/r/n\n A laborer on strike./r/n     罢工者在罢工的劳动者/r/n
4447	laborious	a. 艰苦的,费劲的	 He has a laborious style of writing./r/n     他的文笔不流畅。/r/n\n Laborious study or meditation./r/n     刻苦的学习勤奋的学习或思考/r/n
4480	lamentable	a. 可悲的,哀伤的,可怜的	 His death is a lamentable loss of our work./r/n     他的死对我们的工作来说是令人悲痛的损失。/r/n\n The decision they made is a lamentable lack of foresight./r/n     他们做的决定实在缺乏远见。/r/n
4524	laudable	a. 值得称赞的	
4551	layabout	n. 懒汉	
4677	liabilities	债务<br>\n负债	 The remaining assets of a business after all liabilities have been deducted; net worth./r/n     资产净值一个企业在扣除了所有的债务后所余资产；净值/r/n\n He summed up his assets and liabilities./r/n     他计算出他的资产和负债总和。/r/n
4678	liability	n. 责任,债务,倾向	 The judge exempted them from all liability in these matters./r/n     法官免除了他们在这些事上的所有责任和义务。/r/n\n Taking extra vitamins may reduce your liability to colds./r/n     多吃一些维生素会减少你得感冒的可能性。/r/n
4711	likable	a. 可爱的,值得喜欢的	 Friendly and agreeable in disposition; good-natured and likable./r/n     温柔的性情友好亲切的；脾气好的，可爱的/r/n\n Despite his rough corners he was very likable./r/n     尽管他粗里粗气，但却讨人喜欢。/r/n
4861	lovable	a. 可爱的	 She is a very lovable girl./r/n     她是一个非常可爱的女孩。/r/n\n She is the most lovable among all girls./r/n     所有姑娘中她是最可爱的。/r/n
4918	Mabel	梅布尔(女名)	 Her friends egged on Mabel to spend money to show off./r/n     梅布尔的朋友们怂恿她花钱摆阔气。/r/n\n Old Mabel is still going strong and still working on his farm every day./r/n     老梅布尔依然很健壮，每天还在他的农场里工作。/r/n
4919	macabre	a. 恐怖的, 令人毛骨悚然的, 以死亡为主题的	
4977	maintainability	可维护性	
4978	maintainable	可维护的	
5017	malleability	n. 可锻性,延展性	
5018	malleable	a. 可塑的,易改变的	 The young are more malleable than the old./r/n     年轻人比老年人容易受影响./r/n\n The malleable mind of the pragmatist./r/n     实用主义者那适应性很强的思想/r/n
5036	manageable	a. 易办的,易管理的,易控制的	 We are trying to reduce the problem to manageable proportions./r/n     我们正努力把问题缩小到可以控制的范围内。/r/n\n Step must be taken to reduce the problem to manageable proportions./r/n     必须采取措施将问题缩小到可控制的范围。/r/n
5094	marketable	a. 可销售的,销路好的,市场的	 A marketable product; marketable skills./r/n     可出售的产品；市场所需的技术/r/n\n Suitable for buying and selling; marketable./r/n     适销的适于买卖的；可以销售的/r/n
5236	measurable	a. 可测量的	 Measurable by a common standard; commensurable./r/n     可用共同标准测量的；可共同测量的/r/n\n A measurable figure in literature./r/n     文学界的一个值得注意的人物/r/n
5283	megabit	兆位	
5311	memorabilia	n. 值得纪念的事,大事记	
5312	memorable	n. 值得纪念的事物<br>\na. 值得纪念的	 It was a memorable experience for me./r/n     对我来说那是一次难忘的经历。/r/n\n We had a memorable trip last year./r/n     我们去年有一次难忘的旅行。/r/n
5360	metabolic	a. 新陈代谢的	
5361	metabolism	n. 新陈代谢	
5362	metabolize	vt. (使)产生代谢变化	 Our bodies constantly metabolize the food we eat./r/n     我们吃的食物在体内不停分解产生代谢变化./r/n
5450	minicab	n. 微型出租汽车	
5507	miserable	a. 悲惨的,痛苦的	 The play was a miserable failure./r/n     这出戏演砸了。/r/n\n There are still many people whose living conditions are miserable./r/n     仍有许多人的生活条件是很艰苦的。/r/n
5508	miserably	ad. 悲惨地,糟糕地	 She failed miserably./r/n     她失败得很惨。/r/n\n Suffering from poverty; miserably poor./r/n     贫困的穷困潦倒的；悲惨的/r/n
5658	monostable	单稳态的	
5797	movable	n. 家具,动产<br>\na. 可动的,动产的,不定的	 This dresser is movable; we can take it to our new flat./r/n     这个梳妆台是可移动的，我们可以把它带到新公寓去。/r/n\n I bought a toy soldier with movable arms and legs for my son./r/n     我给我儿子买了一个胳膊腿可移动的玩具兵。/r/n
5800	moveable	a. 活动的<br>\nn. [pl.]动产	
5908	nab	v. 逮捕,攫取<br>\nvt. 抓,获取,抓住,逮捕	 He was nabbed (by the police) for speeding./r/n     他超速行车被（警察）逮住了./r/n\n The thief was nabbed by the police./r/n     小偷被警察抓住了。/r/n
5982	navigable	a. 可航行的,可通船的,适于航行的<br>\na. 容易环绕的.	 The canal is navigable all the year./r/n     这条运河全年可通航。/r/n\n With its engine broken, this great ship was not navigable./r/n     这条大船的马达坏了，无法再航行了。/r/n
6035	negotiable	a. 可磋商的,可转让的,可通行的	 The road is only negotiable in the dry season./r/n     这条道只有在旱季才能通行。/r/n\n He says his claim is not negotiable./r/n     他说他的要求是不容讨价还价的。/r/n
6172	notable	a. 显著的,著名的<br>\nn. 名人	 He is a notable artist./r/n     他是一位著名的艺术家。/r/n\n The difference contrast is notable./r/n     差别对比是显著的。/r/n
6173	notably	ad. 显著地(著名地,值得注意地,格外,特别是)	
6264	obtainable	a. 能获得的(可得到的,能达到的)	 Are his records still obtainable?/r/n     他的唱片还能买到吗?/r/n\n The flowers are no longer obtainable./r/n     那花再也得不到了。/r/n
6338	opposable	a. 可相对的,与其他手指相对的	 Having four feet with opposable first digits, as primates other than human beings./r/n     四足如手的有四足和与其他脚趾相对的第一个足趾的；如除人类以外的灵长类动物/r/n
6521	palatable	a. 美味的,愉快的	 The truth is not always very palatable./r/n     事实真相并非尽如人意./r/n
6595	passable	a. 过得去的	 Fairly good; passable./r/n     尚好的，较好的；过得去的/r/n\n Quality barely passable but price unattractive/r/n     质量尚可但价格并不便宜。/r/n
6678	payable	a. 可付的,应付的,有利益的	 L/c is payable against your draft./r/n     信用证凭汇票付款。/r/n\n The payment of the goods is payable in instalments./r/n     货款可以分期支付。/r/n
6688	peaceable	a. 安静的,和平的	 I was pleased to see how peaceable the horse had become./r/n     我很高兴地看到这匹马变得这么温顺。/r/n
6819	perceivable	a. 可知觉的	 Knowable or perceivable./r/n     可认知的可知的或可觉察的/r/n
6848	performability	可执行性	
6861	periodic table	周期表	
6872	perishable	a. 易腐坏的,会枯萎的,会死的<br>\nn. 易腐坏的	 Perishable food should be stored in a refrigerator./r/n     易腐的食物应储存在冰箱里./r/n\n Keep perishable foods under refrigeration./r/n     把容易变质的食物冷藏起来./r/n
6882	permeability	n. 弥漫,渗透	
6883	permeable	a. 可渗透的	
6915	personable	a. 风度好的,优雅的,貌美的	 The salesman was a very personable young man./r/n     推销员是个风度翩翩的年轻人./r/n
7177	pitiable	a. 引人怜悯的,可怜的	
7265	pleasurable	a. 令人愉快的,使人快乐的	 The pleasurable sensation that accompanies the use of a drug; a rush./r/n     幻觉使用麻醉毒品而产生的一种愉悦的感觉；激情/r/n
7279	pliable	a. 易曲折的,柔软的,圆滑的	 Pliable or impressionable./r/n     顺从的或易受影响的/r/n\n Capable of being bent or flexed; pliable./r/n     柔软的可弯曲或扭曲的；柔韧的/r/n
7426	ponderable	a. 可秤的,有重量的,有价值的	
7472	portability	可移植性,可携带,轻便	
7473	portable	a. 轻便的,手提式的<br>\nn. 手提打字机	 Portable telephones are very popular nowadays./r/n     现今，移动电话非常普及。/r/n\n The new portable computers are going like hot cakes./r/n     新的便携式计算机卖得很快./r/n
7533	potable	a. 适于饮用的	
7572	practicable	a. 可实行的,可做的,可用的	 That suggestion sounds practicable./r/n     那条建议听起来可行。/r/n\n The mountain route is practicable only in summer./r/n     只有在夏季那条山路才可以通行。/r/n
7642	predictably	ad. 可预言地	 Predictably, he left his umbrella in the train./r/n     如所预料，他把雨伞遗留在火车上。/r/n\n I asked the boss for a rise and his reply was predictably short and sweet!/r/n     我要求老板增加我的工资，他的回答如预料的一样简单明了！/r/n
7657	prefabricate	vt. 预先建造组合	
7661	preferable	a. 更好的,更合意的	 Cold food would be preferable in this heat./r/n     在这样的热天吃冷食更好。/r/n\n He finds country life preferable to that of living in the city./r/n     他感到在乡村生活比在城市更好。/r/n
7662	preferably	ad. 宁可,宁愿,较好	 She wanteda cake, preferably one with chocolate icing./r/n     她想吃蛋糕, 最好是有巧克力糖衣的./r/n\n They want to buy a new house, near the sea preferably./r/n     他们要购买一所新房子, 最好在海边./r/n
