ID	words	meaning	lx
119	addressable	可寻址的	
120	addressee	被访地址	
121	addressing	寻址,访问	 A larger computer storage area, usually used for virtual storage addressing./r/n     一大段计算机存储区，常用于虚拟存储器寻址。/r/n\n I was rather daunted by the thought of addressing such an audience./r/n     我一想到要对这样的听众讲话，就有些胆小。/r/n
122	adenosine	n. 腺苷,腺嘌呤核苷	
123	adept	a. 熟练的,老练的<br>\nn. 名手,专家	 My teacher is adept at designing robots./r/n     我的老师对设计机器人是个内行。/r/n\n Helen is adept in music and her husband is adept in drawing./r/n     海伦精通音乐，而她的丈夫擅长绘画。/r/n
124	adequate	a. 足够的,充足的,适当的,能胜任的	 Their earnings are adequate to their needs./r/n     他们挣的钱够用了。/r/n\n Our accommodation is barely adequate./r/n     我们的住房不太够用。/r/n
125	adhere	v. 附～,粘～	 We should adhere to our opinions./r/n     我们应当坚持我们的意见。/r/n\n Paste is used to make one surface adhere to another./r/n     糨糊是用于使一个接触面粘住另一个接触面的。/r/n
126	adjacency	邻近,邻接	
127	adjacent	a. 毗连的,邻近的,接近的	 His house is adjacent to mine./r/n     他的寓所与我的相毗连。/r/n\n An edge and the area immediately adjacent to it; a border./r/n     边缘，边界边和邻近的区域；边界/r/n
128	adjective	n. 形容词<br>\na. 形容词的,似形容词的	 This is an adjective phrase./r/n     这是个形容词短语。/r/n\n There are more than 5,000 adjectives in that dictionary./r/n     那本词典中有5000多个形容词。/r/n
129	adjoin	v. 邻接,毗连,邻接	 Our house adjoins theirs./r/n     我们的房屋与他们的毗连。/r/n\n Property that adjoins ours./r/n     与我们的地产相毗连的地产/r/n
130	adjust	v. 调整,使...适于	 He adjusted himself very quickly to the heat of the country./r/n     他很快使自己适应了这个国家炎热的天气。/r/n\n This kind of desk can be adjusted to the height you need./r/n     这种书桌的高低可以按照你的需要调节。/r/n
131	administer	v. 管理,治理,执行	 The priest administered the last rites./r/n     神父为人举行临终圣礼。/r/n\n The courts administer the law./r/n     法院执行法律。/r/n
132	administrate	v. 给予,投(药),经营,实施,掌管,料理	
133	administration	n. 行政,管理,中央政府	 The company developed rapidly under his administration./r/n     在他的管理下，公司发展得很快。/r/n\n She has been looking after the ,day-to-day administration./r/n     她一直在照管日常的行政工作./r/n
134	administrative	a. 行政的,管理的	 This job is mainly administrative./r/n     这份工作主要是行政性的。/r/n\n A division of an area, as for administrative purposes./r/n     地区，行政区一个地域的分支，如为了管理的目的/r/n
135	administrator	n. 管理人,行政官	 She is an excellent administrator./r/n     她是个优秀的管理人员。/r/n\n The person was appointed administrator to manage the property of others./r/n     这个人被指定管理他人的财产。/r/n
136	admiration	n. 钦佩,赞赏	 She speaks English so well that her friends are filled with admiration./r/n     她的英语说得好极了，她的朋友都赞美不已。/r/n\n She was ardent in her admiration of the artist./r/n     她非常倾慕那位艺术家。/r/n
137	admire	v. 钦佩,羡慕,赞赏	 She has many admirers./r/n     她有许多追求者。/r/n\n I am not a great admirer of her work./r/n     我对她的工作不太欣赏。/r/n
138	admission	n. 许可,入会费,承认	 He gained admission into this university./r/n     他获准进入这所大学。/r/n\n Do they charge for admission?/r/n     入场要收费吗?/r/n
139	admit	v. 允许进入,承认	 He was admitted to the hospital suffering from burns./r/n     他由于烧伤，被送入医院治疗。/r/n\n This sentence admits of several interpretations./r/n     这个句子可以有多种解释。/r/n
140	Adobe	n. 泥砖,土坯<br>\n美国Adobe公司	
141	adolescent	a. 青春期的,青少年的<br>\nn. 青少年	 My adolescent life./r/n     我的青少年时期/r/n\n Overgrowth is common in adolescents./r/n     青少年成长过快是普遍现象./r/n
142	adopt	v. 采用,收养,接受	 As they had no children of their own, they adopted an orphan./r/n     他们没有亲生儿女，就收养了一个孤儿。/r/n\n Most countries adopt metric system./r/n     大多数国家采用米制。/r/n
143	adoption	n. 采用,采纳,收养	 He was pleased by the adoption of a little girl./r/n     他对收养了一个女孩感到高兴。/r/n\n The list of bill to be consider is headed by the bill on the adoption service./r/n     要考虑的议案一览表上第一项就是关于收养服务的议案。/r/n
144	adore	v. 崇拜,爱慕,喜爱	 The boys adore their mothers./r/n     男孩们敬慕他们的母亲。/r/n\n All the girls in our school adore the handsome mathematics teacher who happens to be a bachelor./r/n     我们学校里所有女孩子都崇拜那个恰巧是单身汉的英俊数学老师。/r/n
145	adrenal	a. 肾上腺的<br>\nn. 肾上腺	
146	adrenalin	n. 肾上腺素	 He kept the adrenalin flowing with off-and-on feuds with his critics./r/n     他断断续续地同评论家们口诛笔伐，使得肝火旺盛。/r/n
147	adult	a. 成年的,成熟的<br>\nn. 成年人	 These films are suitable for adults only./r/n     这些电影只适宜成人观看。/r/n\n His behavior is not particularly adult./r/n     他的举止行为还不太成熟。/r/n
148	adulteration	n. 搀杂,搀假的东西,冒充货	 Characterized by adulteration; spurious./r/n     掺假的以掺假为特征的；伪造的/r/n
149	advance	n. 前进,进步,预支<br>\nv. 前进,增加,上涨	 The report advances the suggestion that safety standards should be improved./r/n     该报告建议安全标准应该改进。/r/n\n It is a popular show, so advance booking is essential./r/n     这是个很受欢迎的演出，所以一定要提前订票。/r/n
150	advanced	a. 高级的,先进的	 The professor is engaged in advanced studies./r/n     该教授正进行高深的学术研究。/r/n\n The regent carried out an advanced system in his country./r/n     摄政者在他的国家推行了一套先进的制度。/r/n
151	advantage	n. 优势,有利条件	 Earthenware has an advantage over wood in being more easily kept clean./r/n     陶器的优点在于比木器更容易保持清洁。/r/n\n Rich has an advantage over you since he can speak German./r/n     理奇比你占优势, 因为他会讲德语。/r/n
152	advantageous	a. 有利的	 For the best; advantageous./r/n     有好处的；有利的/r/n\n It will be advantageous if steps are taken to resume our business relationship on the basis of mutual benefit./r/n     如果我们采取措施在互利的基础上恢复业务关系，对我们都是有利的。/r/n
153	adventure	n. 冒险,奇遇<br>\nv. 大胆进行	 The explorer told the boys about his adventures in the Arctic./r/n     那位探险家把他在北极的冒险活动讲给男孩子 们听。/r/n\n An adventure in dining./r/n     进餐中的奇遇/r/n
154	adverb	a. 副词的<br>\nn. 副词	 It is an adverb./r/n     它是副词。/r/n\n Adverb is used to modify verb, such asquickly" in"she runs quickly"./r/n     副词用来修饰动词，例如：“她快快地跑”中的“快快地”。/r/n"
155	adverse	a. 不利的	 An allergy is an adverse reaction of the body to certain substances./r/n     过敏是身体对某些物质的不良反应。/r/n\n The judge gave us an adverse decision./r/n     法官作出对我们不利的判决。/r/n
156	advertise	vi. 登广告<br>\nv. 为...做广告	 I advertised him of my plan./r/n     我告知他我的计划。/r/n\n We decided to advertise our new product./r/n     我们决定为我们的新产品做广告。/r/n
157	advertisement	n.&ad. 广告	 There are too many TV advertisements in between the program./r/n     这个电视节目中的广告太多了。/r/n\n There are many insertions of advertisement in the newspapers./r/n     报纸上有很多插入的广告。/r/n
158	advice	n. 忠告,劝告	 I asked the teacher for her advice./r/n     我征求这位老师的意见。/r/n\n He gave me some good advice./r/n     他向我提了一些很好的意见。/r/n
159	advisable	a. 明智的,可取的	 It is deemed advisable./r/n     这认为是可取的./r/n\n It will not be advisable so pack this course into your already busy schedule./r/n     把这门课硬排进你本来已经很紧的计划是不明智的。/r/n
160	advise	v. 劝告,通知,与...商量	 The doctor advised (me to take) a complete rest./r/n     医生让（我）完全休息./r/n\n They advised her against marrying quickly./r/n     他们劝她不要太快结婚./r/n
161	adviser	n. 顾问,指导教授,劝告者	 Professor Smith served as special adviser to the President./r/n     史密斯教授曾做过总统的特别顾问。/r/n\n He became her senior adviser her deputy, if you will./r/n     他成了她的高级顾问--你要说是她的副手也未尝不可./r/n
162	advisory	a. 劝告的,顾问的,谘询的	
163	advocate	n. 提倡者,拥护者<br>\nv. 主张,提倡	 He advocates reducing military spending./r/n     他主张削减军费开支。/r/n\n This judge is a strong advocate of prison reform./r/n     这位法官是监狱改革的坚决拥护者。/r/n
164	aerial	a. 空中的,航空的,空想的	 He showed me some aerial photographs./r/n     他给我看了一些空中拍摄的照片。/r/n\n The birds perched on the television aerial./r/n     鸟停在电视天线上./r/n
165	aeroplane	n. 飞机	 An aeroplane droned overhead./r/n     一架飞机在头上嗡嗡飞过。/r/n\n To ride in an aeroplane you have to book in advance./r/n     要乘飞机必须提前定位子。/r/n
166	aerospace	n. 航空宇宙	
167	aesthetic	a. 美学的,审美的,有美感	
168	affair	n. 事件,事情,事务	 Mind your own affairs!/r/n     别管闲事！/r/n\n The party was a dull affair./r/n     这次聚会单调乏味。/r/n
169	affect	v. 影响,作用,感动	 He affected not to hear me./r/n     他假装没有听见我。/r/n\n He was much affected by the sad news./r/n     这个悲惨的消息使他非常难过。/r/n
170	affected	vbl. 影响	 The climate affected his health./r/n     气候影响了他的健康。/r/n\n It is said that the rhythm of tides is affected by the moon./r/n     据说潮汐的涨落受月亮的影响。/r/n
171	affection	n. 慈爱,爱,感情,作用,影响	 Every mother has affection for her children./r/n     每个母亲都爱她的孩子。/r/n\n He is held in affection./r/n     他极为大家所爱戴。/r/n
172	affiliate	n. 联号(联播台,同伙),附属机构,分公司<br>\nvt 合并(使...加入,追源)	
173	affirm	v. 断言,肯定	 I affirm that what he said is true./r/n     我断言他所说的是实情。/r/n\n They affirmed that the girl did quite a bit of reading./r/n     他们断言这个女孩子读了不少书。/r/n
174	affirmative	a. 肯定的,正面的<br>\nn. 肯定语,赞成方面	
175	affix	v. 使...附于,署名,粘贴	 Affix a label to a package./r/n     在包裹上贴张标签/r/n\n Please affix a stamp./r/n     请贴上邮票。/r/n
176	afflict	v. 使苦恼,折磨	 She was afflicted with conscience./r/n     她受良心责备。/r/n\n He was afflicted with cancer./r/n     他患了癌症。/r/n
177	affluent	a. 富裕的<br>\nn. 支流	
178	Africa	n. 非洲	
179	African	a. 非洲的,非洲人的<br>\nn. 非洲人	 Most African people are black people./r/n     大多数非洲人是黑人。/r/n\n He is an African./r/n     他是非洲人。/r/n
180	after	a. 以后的<br>\nad. 以后,后来<br>\nconj. 在...以后<br>\nprep. 在...之后	 I found your coat after you had left the house./r/n     你离开房子之后，我发现了你的外衣。/r/n\n He grew weak in after years./r/n     在以后的几年里，他变得衰弱了。/r/n
181	afternoon	n. 下午	 Good afternoon!/r/n     下午好！/r/n\n Scattered showers are expected this afternoon./r/n     预料今天下午有零星阵雨。/r/n
182	afterward	ad. 后来,以后	 Soon afterward they left./r/n     他们不久以后就离开了。/r/n\n Three days afterward they met at the station./r/n     三天后，他们在车站见面了。/r/n
183	afterwards	ad. 以后,后来	 We saw the play separately and compared notes afterwards./r/n     我们各自看了那出戏, 後来交换了意见./r/n\n Soon afterwards he made his first public statement about the affair./r/n     不久以后，他第一次就这一事件发表了公开声明。/r/n
